8172 , 6.58
8167 , 69.28
8166 , 25.35
8159 , 116.49
8156 , 237.50
8155 , 17.31
8154 , 31.24
8153 , 30.59
8151 , 64.60
8150 , 44.23
8140 , 2.46
8118 , 509.00
8110 , 136.03
8109 , 315.06
8106 , 0.59
8104 , 93.82
8095 , 18.46
8091 , 26.04
8082 , 46.77
8066 , 20.83
8049 , 17.00
8047 , 52.04
8043 , 0.25
8037 , 74.80
8035 , 1550.22
8034 , 20.93
8027 , 255.32
8026 , 786.17
8017 , 822.50
8012 , 33.90
8011 , 18.91
8006 , 2.80
8005 , 2.14
7994 , 140.18
7993 , 5.78
7992 , 4.86
7989 , 173.35
7987 , 15.03
7985 , 1.35
7984 , 2.09
7982 , 3.23
7980 , 0.11
7967 , 0.36
7966 , 1185.22
7957 , 1.40
7955 , 1.95
7953 , 78.72
7944 , 99.88
7941 , 48.37
7940 , 2.03
7935 , 0.14
7928 , 25.33
7911 , 0.28
7910 , 11.43
7908 , 21.25
7905 , 2.45
7901 , 942.43
7899 , 39.25
7895 , 793.57
7889 , 4.13
7865 , 396.01
7863 , 1315.49
7861 , 1347.46
7857 , 8.40
7848 , 449.71
7844 , 0.27
7841 , 18.51
7840 , 1274.15
7835 , 186.46
7833 , 27.07
7832 , 10.83
7831 , 335.98
7826 , 15.30
7825 , 23.38
7820 , 2255.23
7815 , 74.76
7801 , 505.42
7799 , 2350.66
7791 , 221.95
7788 , 243.36
7786 , 47.47
7770 , 2.64
7767 , 3600.25
7765 , 4.37
7763 , 104.36
7762 , 251.76
7757 , 4.32
7756 , 133.50
7755 , 861.66
7754 , 153.14
7746 , 83.11
7730 , 12.51
7728 , 22.80
7726 , 1471.69
7724 , 0.78
7721 , 13.78
7715 , 8.64
7712 , 48.44
7707 , 120.29
7706 , 0.24
7701 , 1329.72
7700 , 166.13
7697 , 2662.03
7692 , 8.11
7689 , 0.48
7685 , 20.36
7684 , 21.53
7683 , 149.61
7682 , 29.45
7680 , 2590.31
7671 , 127.16
7669 , 2.75
7668 , 29.65
7666 , 1.13
7663 , 196.24
7661 , 0.25
7659 , 1214.64
7654 , 4.12
7652 , 15.18
7651 , 716.77
7649 , 24.49
7647 , 125.20
7645 , 360.92
7641 , 51.52
7640 , 0.26
7637 , 620.28
7635 , 0.30
7633 , 511.41
7630 , 22.64
7628 , 44.60
7618 , 73.92
7617 , 4.73
7616 , 4881.48
7615 , 1486.78
7612 , 114.77
7605 , 22.94
7603 , 1376.52
7596 , 35.43
7594 , 2775.06
7591 , 83.30
7588 , 3.42
7583 , 13.55
7581 , 2.31
7578 , 0.75
7566 , 8.18
7565 , 33.67
7564 , 0.22
7561 , 1832.89
7557 , 2.11
7555 , 3675.85
7551 , 141.76
7538 , 12.94
7535 , 1.19
7530 , 735.87
7529 , 1201.78
7528 , 2094.10
7525 , 1.61
7524 , 4.16
7521 , 17.24
7519 , 4.99
7517 , 1050.66
7514 , 0.05
7513 , 0.51
7508 , 1910.21
7506 , 51.28
7505 , 5862.78
7503 , 188.95
7502 , 0.30
7501 , 0.89
7498 , 22.18
7497 , 2.80
7496 , 4163.82
7495 , 0.83
7493 , 15.37
7492 , 16.93
