# "Components Flow" "Components TS" "Helios Flow" "Helios TS"
1 10.59  10.13  17.26  8.81
2 6.19   6.85   9.61  5.44
3 4.74   6.50   7.23  5.03
4 4.05   6.43   6.16  4.95
5 3.79   6.48   5.82  5.04
6 3.63   6.41   5.51  4.94
7 3.52   6.40   5.31  4.93
8 3.42   6.40   5.16  4.94















